epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1194.01,1.45274,2.38368,1.61672,0.46543,0.47171,0.43886,0.19128,1.75982,2.80008,2.13105,0.000552417,0.000552417,0.000552417
2,2394.53,1.57949,2.11583,1.73444,0.40385,0.40568,0.34463,0.14384,1.87791,2.68329,2.22528,0.00108614,0.00108614,0.00108614
3,3841.71,1.65563,2.08992,1.78669,0.41923,0.35618,0.32988,0.14632,1.85478,2.64158,2.19844,0.00159787,0.00159787,0.00159787
4,5091.36,1.64528,1.99783,1.77979,0.43656,0.38471,0.34898,0.16285,1.90026,2.29023,2.20937,0.00156798,0.00156798,0.00156798
5,6212.05,1.59022,1.84847,1.73634,0.56381,0.47384,0.50892,0.20034,1.9293,1.97991,2.26167,0.00153497,0.00153497,0.00153497
6,7341.54,1.54635,1.76222,1.71045,0.56919,0.44856,0.46361,0.22648,1.77505,1.99727,2.03647,0.00150197,0.00150197,0.00150197
7,8457.61,1.54814,1.73388,1.70013,0.68656,0.56337,0.62206,0.32787,1.61517,1.63882,1.89552,0.00146896,0.00146896,0.00146896
8,12048.5,1.48446,1.615,1.65482,0.66969,0.57072,0.60982,0.30326,1.77313,1.71243,2.04767,0.00143595,0.00143595,0.00143595
9,13576.9,1.47053,1.58387,1.62958,0.68994,0.5614,0.62952,0.34008,1.56956,1.55325,1.82938,0.00140295,0.00140295,0.00140295
10,14734.2,1.43573,1.50098,1.60689,0.67372,0.6046,0.61707,0.3469,1.54584,1.56469,1.86234,0.00136994,0.00136994,0.00136994
11,16060.3,1.40416,1.45871,1.58012,0.68871,0.60613,0.65787,0.34651,1.59457,1.4937,1.86281,0.00133693,0.00133693,0.00133693
12,17150.2,1.41117,1.44192,1.58485,0.65569,0.63742,0.69226,0.38739,1.57869,1.39931,1.84117,0.00130393,0.00130393,0.00130393
13,18370,1.37942,1.43636,1.57536,0.69983,0.66322,0.70672,0.41034,1.52264,1.3834,1.81414,0.00127092,0.00127092,0.00127092
14,19712.4,1.36405,1.3736,1.55784,0.78483,0.65801,0.697,0.37767,1.55661,1.41076,1.83743,0.00123791,0.00123791,0.00123791
15,21015.2,1.32963,1.3288,1.5272,0.74746,0.68456,0.73419,0.43264,1.48567,1.25534,1.76115,0.00120491,0.00120491,0.00120491
16,29753.4,1.33296,1.30839,1.52736,0.8041,0.63668,0.73354,0.44017,1.44186,1.22687,1.71839,0.0011719,0.0011719,0.0011719
17,31338.6,1.31954,1.25858,1.50957,0.75367,0.69207,0.72918,0.43036,1.46528,1.25818,1.76353,0.00113889,0.00113889,0.00113889
18,32575.2,1.31283,1.26213,1.50698,0.79533,0.70386,0.76101,0.46903,1.37701,1.13873,1.66723,0.00110589,0.00110589,0.00110589
